Name,Price,Mrp,Discount,Brand,Link,SKU_code,Path,Category 1,Category 2,Category 3,Category 4,Category 5,Product Type,Product Line,Model,UOM,Country of Origin,Sales Unit,Weight/ Volume UOM,Weight/ Volume,Shape,Series,Manufacturer/Importer Name,Manufacturer/Importer Address,Finish,Coverage Area/Box/SQMT,Base Material,Thickness,Module,Material Category,Material Description,External Material Group,Wattage,Type/ Mounting Type,Sub Brand,Fitment,Warranty,KEY,PASSWORD,FINGER PRINT,RFID CARD,Avg.Weight in KG/LTR/GM,Dimension/ Size,Wire Grade,Wire Length (Meter),BLUETOOTH,Pattern,Coverage Area/Box/SFT,Pack Size,Colour Family,Core,Colour Name(CCT),Series/Sub brands,Current Rating(AMP),Wire Area (sq. mm),Lumen,IOT,Size (Cut out) MM,Breaking Capacity,Pole,Way,Assembly Required,Assembly Type,What is in the Box,Product Care Instructions,Style,Age Range (Description),Special Feature,Number of Pcs,Size,Load Capacity,Metal Type,Noise,Steel Grade,Maximum Weight Recommendation,Angle,Occasion,Room Type,Surface Recommendation,Item Firmness Description
twbc marble soap dispenser italian staturio 114mmx76mmx76mm twcbs025,₹2150.08,₹2688.00,20%,THE WASHBASIN COMPANY,https://www.hippostores.com/twbc-marble-soap-dispenser-italian-staturio-114mmx76mmx76mm-twcbs025-model-twcbs025/product/2000007816,2000007816,,,,,,,MARBLE BATHSET,BATHROOM ACCESSORY,TWCBS025,PCE,India,PCE,KGM,0.0,,,THE WASHBASINS COMPANY,"C/O ERASMIC INTERNATIONA E-214 INDUSTRIAL AREA BIDIYAD, NAGAUR, RJ, 341542",GLOSSY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twbc marble soap dish italian staturio 127mmx127mmx25mm twcbs023,₹1478.05,₹1848.00,20%,THE WASHBASIN COMPANY,https://www.hippostores.com/twbc-marble-soap-dish-italian-staturio-127mmx127mmx25mm-twcbs023-model-twcbs023/product/2000007814,2000007814,,,,,,,MARBLE BATHSET,BATHROOM ACCESSORY,TWCBS023,PCE,India,PCE,KGM,0.0,,,THE WASHBASINS COMPANY,"C/O ERASMIC INTERNATIONA E-214 INDUSTRIAL AREA BIDIYAD, NAGAUR, RJ, 341542",GLOSSY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twbc marble cotton box italian staturio 114mmx76mmx76mm twcbs024,₹1612.96,₹2016.00,20%,THE WASHBASIN COMPANY,https://www.hippostores.com/twbc-marble-cotton-box-italian-staturio-114mmx76mmx76mm-twcbs024-model-twcbs024/product/2000007815,2000007815,,,,,,,MARBLE BATHSET,BATHROOM ACCESSORY,TWCBS024,PCE,India,PCE,KGM,0.0,,,THE WASHBASINS COMPANY,"C/O ERASMIC INTERNATIONA E-214 INDUSTRIAL AREA BIDIYAD, NAGAUR, RJ, 341542",GLOSSY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"twbc marble bathset 
set of 6 pieces italian grey plate twcbs0020",₹9676.97,₹12096.00,20%,THE WASHBASIN COMPANY,https://www.hippostores.com/twbc-marble-bathset-set-of-6-pieces-italian-grey-plate-twcbs0020-model-twcbs0020/product/2000007817,2000007817,,,,,,,MARBLE BATHSET,BATHROOM ACCESSORY,TWCBS0020,PCE,India,PCE,KGM,0.0,,,THE WASHBASINS COMPANY,"C/O ERASMIC INTERNATIONA E-214 INDUSTRIAL AREA BIDIYAD, NAGAUR, RJ, 341542",GLOSSY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"twbc marble bathset 
set of 6 pieces italian staturio plate twcbs0019",₹9971.81,₹12466.00,20%,THE WASHBASIN COMPANY,https://www.hippostores.com/twbc-marble-bathset-set-of-6-pieces-italian-staturio-plate-twcbs0019-model-twcbs0019/product/2000007810,2000007810,,,,,,,MARBLE BATHSET,BATHROOM ACCESSORY,TWCBS0019,PCE,India,PCE,KGM,0.0,,,THE WASHBASINS COMPANY,"C/O ERASMIC INTERNATIONA E-214 INDUSTRIAL AREA BIDIYAD, NAGAUR, RJ, 341542",GLOSSY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twbc marble plate italian staturio 279mmx279mmx25mm twcbs020,₹2419.03,₹3024.00,20%,THE WASHBASIN COMPANY,https://www.hippostores.com/twbc-marble-plate-italian-staturio-279mmx279mmx25mm-twcbs020-model-twcbs020/product/2000007811,2000007811,,,,,,,MARBLE BATHSET,BATHROOM ACCESSORY,TWCBS020,PCE,India,PCE,KGM,0.0,,,THE WASHBASINS COMPANY,"C/O ERASMIC INTERNATIONA E-214 INDUSTRIAL AREA BIDIYAD, NAGAUR, RJ, 341542",GLOSSY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twbc marble tumbler italian staturio 114mmx76mmx76mm twcbs021,₹1612.96,₹2016.00,20%,THE WASHBASIN COMPANY,https://www.hippostores.com/twbc-marble-tumbler-italian-staturio-114mmx76mmx76mm-twcbs021-model-twcbs021/product/2000007812,2000007812,,,,,,,MARBLE BATHSET,BATHROOM ACCESSORY,TWCBS021,PCE,India,PCE,KGM,0.0,,,THE WASHBASINS COMPANY,"C/O ERASMIC INTERNATIONA E-214 INDUSTRIAL AREA BIDIYAD, NAGAUR, RJ, 341542",GLOSSY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twbc marble brush holder italian staturio 114mmx76mmx76mm twcbs022,₹1612.96,₹2016.00,20%,THE WASHBASIN COMPANY,https://www.hippostores.com/twbc-marble-brush-holder-italian-staturio-114mmx76mmx76mm-twcbs022-model-twcbs022/product/2000007813,2000007813,,,,,,,MARBLE BATHSET,BATHROOM ACCESSORY,TWCBS022,PCE,India,PCE,KGM,0.0,,,THE WASHBASINS COMPANY,"C/O ERASMIC INTERNATIONA E-214 INDUSTRIAL AREA BIDIYAD, NAGAUR, RJ, 341542",GLOSSY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indo enviro milano paver tiles 80mm m30 grade red,₹771.43 (₹1666.69/SQFT),₹1569.00,51%,INDO ENVIRO,https://www.hippostores.com/indo-enviro-milano-paver-tiles-80mm-m30-grade-red/product/3000011457,3000011457,,,,,,,PAVERS,PAVEMENT BLOCKS,,MTK,India,MTK,KGM,5.0,,,INDO ENVIRO INTEGRATED SOLUTIO,"217 A, OKHLA PHASE - III,, DELHI, DL, 110020",MATT,0.043,CONCRETE,80MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indo enviro brick paver tiles 300x150x60mm m30 grade yellow,₹660.8 (₹1364.22/SQFT),₹1344.00,51%,INDO ENVIRO,https://www.hippostores.com/indo-enviro-brick-paver-tiles-300x150x60mm-m30-grade-yellow/product/3000011445,3000011445,,,,,,,PAVERS,PAVEMENT BLOCKS,,MTK,India,MTK,KGM,5.5,,,INDO ENVIRO INTEGRATED SOLUTIO,"217 A, OKHLA PHASE - III,, DELHI, DL, 110020",MATT,0.045,CONCRETE,60MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indo enviro brick paver tiles 300x150x60mm m30 grade red,₹603.28 (₹1245.47/SQFT),₹1227.00,51%,INDO ENVIRO,https://www.hippostores.com/indo-enviro-brick-paver-tiles-300x150x60mm-m30-grade-red/product/3000011446,3000011446,,,,,,,PAVERS,PAVEMENT BLOCKS,,MTK,India,MTK,KGM,5.5,,,INDO ENVIRO INTEGRATED SOLUTIO,"217 A, OKHLA PHASE - III,, DELHI, DL, 110020",MATT,0.045,CONCRETE,60MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indo enviro brick paver tiles 300x150x60mm m30 grade grey,₹523.63 (₹1081.03/SQFT),₹1065.00,51%,INDO ENVIRO,https://www.hippostores.com/indo-enviro-brick-paver-tiles-300x150x60mm-m30-grade-grey/product/3000011444,3000011444,,,,,,,PAVERS,PAVEMENT BLOCKS,,MTK,India,MTK,KGM,5.5,,,INDO ENVIRO INTEGRATED SOLUTIO,"217 A, OKHLA PHASE - III,, DELHI, DL, 110020",MATT,0.045,CONCRETE,60MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indo enviro brick paver tiles 300x150x80mm m30 grade grey,₹682.91 (₹1409.86/SQFT),₹1389.00,51%,INDO ENVIRO,https://www.hippostores.com/indo-enviro-brick-paver-tiles-300x150x80mm-m30-grade-grey/product/3000011447,3000011447,,,,,,,PAVERS,PAVEMENT BLOCKS,,MTK,India,MTK,KGM,5.5,,,INDO ENVIRO INTEGRATED SOLUTIO,"217 A, OKHLA PHASE - III,, DELHI, DL, 110020",MATT,0.045,CONCRETE,80MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indo enviro brick paver tiles 300x150x80mm m30 grade yellow,₹887.95 (₹1833.17/SQFT),₹1806.00,51%,INDO ENVIRO,https://www.hippostores.com/indo-enviro-brick-paver-tiles-300x150x80mm-m30-grade-yellow/product/3000011448,3000011448,,,,,,,PAVERS,PAVEMENT BLOCKS,,MTK,India,MTK,KGM,5.5,,,INDO ENVIRO INTEGRATED SOLUTIO,"217 A, OKHLA PHASE - III,, DELHI, DL, 110020",MATT,0.045,CONCRETE,80MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indo enviro brick paver tiles 300x150x80mm m30 grade red,₹771.43 (₹1592.61/SQFT),₹1569.00,51%,INDO ENVIRO,https://www.hippostores.com/indo-enviro-brick-paver-tiles-300x150x80mm-m30-grade-red/product/3000011449,3000011449,,,,,,,PAVERS,PAVEMENT BLOCKS,,MTK,India,MTK,KGM,5.5,,,INDO ENVIRO INTEGRATED SOLUTIO,"217 A, OKHLA PHASE - III,, DELHI, DL, 110020",MATT,0.045,CONCRETE,80MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indo enviro brick paver tiles 300x150x100mm m30 grade red,₹948.43 (₹1958.03/SQFT),₹1929.00,51%,INDO ENVIRO,https://www.hippostores.com/indo-enviro-brick-paver-tiles-300x150x100mm-m30-grade-red/product/3000011452,3000011452,,,,,,,PAVERS,PAVEMENT BLOCKS,,MTK,India,MTK,KGM,5.5,,,INDO ENVIRO INTEGRATED SOLUTIO,"217 A, OKHLA PHASE - III,, DELHI, DL, 110020",MATT,0.045,CONCRETE,100MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indo enviro milano paver tiles 60mm m30 grade red,₹603.28 (₹1303.4/SQFT),₹1227.00,51%,INDO ENVIRO,https://www.hippostores.com/indo-enviro-milano-paver-tiles-60mm-m30-grade-red/product/3000011454,3000011454,,,,,,,PAVERS,PAVEMENT BLOCKS,,MTK,India,MTK,KGM,5.0,,,INDO ENVIRO INTEGRATED SOLUTIO,"217 A, OKHLA PHASE - III,, DELHI, DL, 110020",MATT,0.043,CONCRETE,60MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indo enviro milano paver tiles 60mm m30 grade grey,₹523.63 (₹1131.31/SQFT),₹1065.00,51%,INDO ENVIRO,https://www.hippostores.com/indo-enviro-milano-paver-tiles-60mm-m30-grade-grey/product/3000011453,3000011453,,,,,,,PAVERS,PAVEMENT BLOCKS,,MTK,India,MTK,KGM,5.0,,,INDO ENVIRO INTEGRATED SOLUTIO,"217 A, OKHLA PHASE - III,, DELHI, DL, 110020",MATT,0.043,CONCRETE,60MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
