Name,Price,Mrp,Discount,Brand,Link,SKU_code,Path,Category 1,Category 2,Category 3,Category 4,Category 5,Product Type,Product Line,Model,UOM,Country of Origin,Sales Unit,Weight/ Volume UOM,Weight/ Volume,Shape,Series,Manufacturer/Importer Name,Manufacturer/Importer Address,Finish,Coverage Area/Box/SQMT,Base Material,Thickness,Module,Material Category,Material Description,External Material Group,Wattage,Type/ Mounting Type,Sub Brand,Fitment,Warranty,KEY,PASSWORD,FINGER PRINT,RFID CARD,Avg.Weight in KG/LTR/GM,Dimension/ Size,Wire Grade,Wire Length (Meter),BLUETOOTH,Pattern,Coverage Area/Box/SFT,Pack Size,Colour Family,Core,Colour Name(CCT),Series/Sub brands,Current Rating(AMP),Wire Area (sq. mm),Lumen,IOT,Size (Cut out) MM,Breaking Capacity,Pole,Way,Assembly Required,Assembly Type,What is in the Box,Product Care Instructions,Style,Age Range (Description),Special Feature,Number of Pcs,Size,Load Capacity,Metal Type,Noise,Steel Grade,Maximum Weight Recommendation,Angle,Occasion,Room Type,Surface Recommendation,Item Firmness Description
norisys usb charger socket outlet 2.1a - 1m,₹1107.37,₹2180.00,49%,NORISYS,https://www.hippostores.com/norisys-usb-charger-socket-outlet-2-1a-1m-model-ns7736-01/product/1000003177,1000003177,electrical & lighting (elt) > switches > modular > COMMUNICATION MODULE,electrical & lighting (elt),switches,modular,COMMUNICATION MODULE,,COMMUNICATION MODULE,MODULAR,NS7736.01,PCE,India,PCE,KGM,0.0,,SQUARE,Vertex Industries,"B-95 G.T.KARNAL ROAD INDUSTRIAL AREA, New Delhi, DL, 110033",SHYNE,,THERMOESTATE,,1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crabtree signia blank plate 1m white,₹25.32,₹46.00,45%,CRABTREE,https://www.hippostores.com/crabtree-signia-blank-plate-1m-white-model-acwplbwx01/product/1000007643,1000007643,electrical & lighting (elt) > switches > modular > FRONT PLATE,electrical & lighting (elt),switches,modular,FRONT PLATE,,FRONT PLATE,MODULAR,ACWPLBWX01,PCE,India,PCE,KGM,0.007,,SIGNIA,HAVELLS INDIA LTD,"B-1400, INDOSPACE INDUSTRIAL PARK, BADLI PVT LTD,, JHAJJAR BADLI ROAD, VILL-PAHASOUR, FAIZABAD-PO BADLI, JHAJJAR, HR, 124105",SHYNE,,POLYCARBONATE,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crabtree signia 4 m comb pc plate white,₹110.19,₹201.00,45%,CRABTREE,https://www.hippostores.com/crabtree-signia-4-m-comb-pc-plate-white-model-acwplcwv04/product/1000007648,1000007648,electrical & lighting (elt) > switches > modular > COMBINED PLATE,electrical & lighting (elt),switches,modular,COMBINED PLATE,,COMBINED PLATE,MODULAR,ACWPLCWV04,PCE,India,PCE,KGM,0.055,,SIGNIA,HAVELLS INDIA LTD,"B-1400, INDOSPACE INDUSTRIAL PARK, BADLI PVT LTD,, JHAJJAR BADLI ROAD, VILL-PAHASOUR, FAIZABAD-PO BADLI, JHAJJAR, HR, 124105",SHYNE,,POLYCARBONATE,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crabtree signia led foot light 2m white,₹473.6,₹865.00,45%,CRABTREE,https://www.hippostores.com/crabtree-signia-led-foot-light-2m-white-model-acwpfcwv02/product/1000007642,1000007642,electrical & lighting (elt) > switches > modular > HOSPITALITY MODULE,electrical & lighting (elt),switches,modular,HOSPITALITY MODULE,,HOSPITALITY MODULE,MODULAR,ACWPFCWV02,PCE,India,PCE,KGM,0.035,,SIGNIA,HAVELLS INDIA LTD,"B-1400, INDOSPACE INDUSTRIAL PARK, BADLI PVT LTD,, JHAJJAR BADLI ROAD, VILL-PAHASOUR, FAIZABAD-PO BADLI, JHAJJAR, HR, 124105",SHYNE,,POLYCARBONATE,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crabtree signia 2 m comb pc plate white,₹76.65,₹140.00,45%,CRABTREE,https://www.hippostores.com/crabtree-signia-2-m-comb-pc-plate-white-model-acwplcwv02/product/1000007646,1000007646,electrical & lighting (elt) > switches > modular > COMBINED PLATE,electrical & lighting (elt),switches,modular,COMBINED PLATE,,COMBINED PLATE,MODULAR,ACWPLCWV02,PCE,India,PCE,KGM,0.04,,SIGNIA,HAVELLS INDIA LTD,"B-1400, INDOSPACE INDUSTRIAL PARK, BADLI PVT LTD,, JHAJJAR BADLI ROAD, VILL-PAHASOUR, FAIZABAD-PO BADLI, JHAJJAR, HR, 124105",SHYNE,,POLYCARBONATE,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crabtree signia 3 m comb pc plate white,₹88.29,₹161.00,45%,CRABTREE,https://www.hippostores.com/crabtree-signia-3-m-comb-pc-plate-white-model-acwplcwv03/product/1000007647,1000007647,electrical & lighting (elt) > switches > modular > COMBINED PLATE,electrical & lighting (elt),switches,modular,COMBINED PLATE,,COMBINED PLATE,MODULAR,ACWPLCWV03,PCE,India,PCE,KGM,0.05,,SIGNIA,HAVELLS INDIA LTD,"B-1400, INDOSPACE INDUSTRIAL PARK, BADLI PVT LTD,, JHAJJAR BADLI ROAD, VILL-PAHASOUR, FAIZABAD-PO BADLI, JHAJJAR, HR, 124105",SHYNE,,POLYCARBONATE,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crabtree signia 1 m comb pc plate white,₹75.97,₹139.00,45%,CRABTREE,https://www.hippostores.com/crabtree-signia-1-m-comb-pc-plate-white-model-acwplcwv01/product/1000007645,1000007645,electrical & lighting (elt) > switches > modular > COMBINED PLATE,electrical & lighting (elt),switches,modular,COMBINED PLATE,,COMBINED PLATE,MODULAR,ACWPLCWV01,PCE,India,PCE,KGM,0.045,,SIGNIA,HAVELLS INDIA LTD,"B-1400, INDOSPACE INDUSTRIAL PARK, BADLI PVT LTD,, JHAJJAR BADLI ROAD, VILL-PAHASOUR, FAIZABAD-PO BADLI, JHAJJAR, HR, 124105",SHYNE,,POLYCARBONATE,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crabtree signia 32 a sp c mini mcb white,₹195.74,₹358.00,45%,CRABTREE,https://www.hippostores.com/crabtree-signia-32-a-sp-c-mini-mcb-white-model-dcwncspa032/product/1000007644,1000007644,electrical & lighting (elt) > switches > modular > MINI MCB& STARTER,electrical & lighting (elt),switches,modular,MINI MCB& STARTER,,MINI MCB& STARTER,MODULAR,DCWNCSPA032,PCE,India,PCE,KGM,0.045,,SIGNIA,HAVELLS INDIA LTD,"B-1400, INDOSPACE INDUSTRIAL PARK, BADLI PVT LTD,, JHAJJAR BADLI ROAD, VILL-PAHASOUR, FAIZABAD-PO BADLI, JHAJJAR, HR, 124105",SHYNE,,POLYCARBONATE,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crabtree signia 6 m comb pc plate white,₹150.57,₹275.00,45%,CRABTREE,https://www.hippostores.com/crabtree-signia-6-m-comb-pc-plate-white-model-acwplcwv06/product/1000007649,1000007649,electrical & lighting (elt) > switches > modular > COMBINED PLATE,electrical & lighting (elt),switches,modular,COMBINED PLATE,,COMBINED PLATE,MODULAR,ACWPLCWV06,PCE,India,PCE,KGM,0.085,,SIGNIA,HAVELLS INDIA LTD,"B-1400, INDOSPACE INDUSTRIAL PARK, BADLI PVT LTD,, JHAJJAR BADLI ROAD, VILL-PAHASOUR, FAIZABAD-PO BADLI, JHAJJAR, HR, 124105",SHYNE,,POLYCARBONATE,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crabtree signia 6/16 a 3pin shut raised socket isi white,₹171.1,₹313.00,45%,CRABTREE,https://www.hippostores.com/crabtree-signia-6-16-a-3pin-shut-raised-socket-isi-white-model-acwkrxw163/product/1000007634,1000007634,electrical & lighting (elt) > switches > modular > SOCKET,electrical & lighting (elt),switches,modular,SOCKET,,SOCKET,MODULAR,ACWKRXW163,PCE,India,PCE,KGM,0.046,,SIGNIA,HAVELLS INDIA LTD,"B-1400, INDOSPACE INDUSTRIAL PARK, BADLI PVT LTD,, JHAJJAR BADLI ROAD, VILL-PAHASOUR, FAIZABAD-PO BADLI, JHAJJAR, HR, 124105",SHYNE,,POLYCARBONATE,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
