Name,Price,Mrp,Discount,Brand,Link,SKU_code,Path,Category 1,Category 2,Category 3,Category 4,Category 5,Product Type,Product Line,Model,UOM,Country of Origin,Sales Unit,Weight/ Volume UOM,Weight/ Volume,Shape,Series,Manufacturer/Importer Name,Manufacturer/Importer Address,Finish,Coverage Area/Box/SQMT,Base Material,Thickness,Module,Material Category,Material Description,External Material Group,Wattage,Type/ Mounting Type,Sub Brand,Fitment,Warranty,KEY,PASSWORD,FINGER PRINT,RFID CARD,Avg.Weight in KG/LTR/GM,Dimension/ Size,Wire Grade,Wire Length (Meter),BLUETOOTH,Pattern,Coverage Area/Box/SFT,Pack Size,Colour Family,Core,Colour Name(CCT),Series/Sub brands,Current Rating(AMP),Wire Area (sq. mm),Lumen,IOT,Size (Cut out) MM,Breaking Capacity,Pole,Way,Assembly Required,Assembly Type,What is in the Box,Product Care Instructions,Style,Age Range (Description),Special Feature,Number of Pcs,Size,Load Capacity,Metal Type,Noise,Steel Grade,Maximum Weight Recommendation,Angle,Occasion,Room Type,Surface Recommendation,Item Firmness Description
snf 108 mab 128mm fancy handel,₹330.41,₹600.00,45%,SNF,https://www.hippostores.com/snf-108-mab-128mm-fancy-handel-model-s-f-108-antique-brass-128mm/product/6000019367,6000019367,"hardware, kitchen and tools (hkt) > architectural hardware > door operating devices > LEVER HANDLES","hardware, kitchen and tools (hkt)",architectural hardware,door operating devices,LEVER HANDLES,,LEVER HANDLES,DOOR OPERATING DEVICES,S&F-108 ANTIQUE BRASS 128MM,PCE,,PCE,KGM,0.0,,,SNF ENTERPRISE LLP,"BASEMENT, 01 & 08, HARBOUR CREST BUILDING,,  SHIVDAS CHAMPSI MARG, MAZAGAON, MUMBAI, MH, 400010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snf 108 mab 96mm fancy handel,₹297.36,₹540.00,45%,SNF,https://www.hippostores.com/snf-108-mab-96mm-fancy-handel-model-s-f-108-antique-brass-96mm/product/6000019366,6000019366,"hardware, kitchen and tools (hkt) > architectural hardware > door operating devices > LEVER HANDLES","hardware, kitchen and tools (hkt)",architectural hardware,door operating devices,LEVER HANDLES,,LEVER HANDLES,DOOR OPERATING DEVICES,S&F-108 ANTIQUE BRASS 96MM,PCE,,PCE,KGM,0.0,,,SNF ENTERPRISE LLP,"BASEMENT, 01 & 08, HARBOUR CREST BUILDING,,  SHIVDAS CHAMPSI MARG, MAZAGAON, MUMBAI, MH, 400010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snf k 2145 ab 56mm fancy kadi,₹495.6,₹900.00,45%,SNF,https://www.hippostores.com/snf-k-2145-ab-56mm-fancy-kadi-model-k-2145-antique-brass-56mm/product/6000019368,6000019368,"hardware, kitchen and tools (hkt) > furniture fittings > furniture handles & knobs > KNOB","hardware, kitchen and tools (hkt)",furniture fittings,furniture handles & knobs,KNOB,,KNOB,FURNITURE HANDLES & KNOBS,K-2145 ANTIQUE BRASS 56MM,PCE,,PCE,KGM,0.0,,,SNF ENTERPRISE LLP,"BASEMENT, 01 & 08, HARBOUR CREST BUILDING,,  SHIVDAS CHAMPSI MARG, MAZAGAON, MUMBAI, MH, 400010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snf 108 matt black 96mm fancy handel,₹297.36,₹540.00,45%,SNF,https://www.hippostores.com/snf-108-matt-black-96mm-fancy-handel-model-s-f-108-matt-black-96mm/product/6000019364,6000019364,"hardware, kitchen and tools (hkt) > architectural hardware > door operating devices > LEVER HANDLES","hardware, kitchen and tools (hkt)",architectural hardware,door operating devices,LEVER HANDLES,,LEVER HANDLES,DOOR OPERATING DEVICES,S&F-108 MATT/BLACK 96MM,PCE,,PCE,KGM,0.0,,,SNF ENTERPRISE LLP,"BASEMENT, 01 & 08, HARBOUR CREST BUILDING,,  SHIVDAS CHAMPSI MARG, MAZAGAON, MUMBAI, MH, 400010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snf 102 mab fancy knob,₹198.24,₹360.00,45%,SNF,https://www.hippostores.com/snf-102-mab-fancy-knob-model-s-f-102-antique-brass/product/6000019380,6000019380,"hardware, kitchen and tools (hkt) > furniture fittings > furniture handles & knobs > KNOB","hardware, kitchen and tools (hkt)",furniture fittings,furniture handles & knobs,KNOB,,KNOB,FURNITURE HANDLES & KNOBS,S&F-102 ANTIQUE BRASS,PCE,,PCE,KGM,0.0,,,SNF ENTERPRISE LLP,"BASEMENT, 01 & 08, HARBOUR CREST BUILDING,,  SHIVDAS CHAMPSI MARG, MAZAGAON, MUMBAI, MH, 400010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snf 103 msn fancy knob,₹231.28,₹420.00,45%,SNF,https://www.hippostores.com/snf-103-msn-fancy-knob-model-s-f-103-msn/product/6000019381,6000019381,"hardware, kitchen and tools (hkt) > furniture fittings > furniture handles & knobs > KNOB","hardware, kitchen and tools (hkt)",furniture fittings,furniture handles & knobs,KNOB,,KNOB,FURNITURE HANDLES & KNOBS,S&F-103 MSN,PCE,,PCE,KGM,0.0,,,SNF ENTERPRISE LLP,"BASEMENT, 01 & 08, HARBOUR CREST BUILDING,,  SHIVDAS CHAMPSI MARG, MAZAGAON, MUMBAI, MH, 400010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snf 104 msn fancy knob,₹198.24,₹360.00,45%,SNF,https://www.hippostores.com/snf-104-msn-fancy-knob-model-s-f-104-msn/product/6000019384,6000019384,"hardware, kitchen and tools (hkt) > furniture fittings > furniture handles & knobs > KNOB","hardware, kitchen and tools (hkt)",furniture fittings,furniture handles & knobs,KNOB,,KNOB,FURNITURE HANDLES & KNOBS,S&F-104 MSN,PCE,,PCE,KGM,0.0,,,SNF ENTERPRISE LLP,"BASEMENT, 01 & 08, HARBOUR CREST BUILDING,,  SHIVDAS CHAMPSI MARG, MAZAGAON, MUMBAI, MH, 400010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snf k 995 knob ae+1 fancy knob,₹413.01,₹750.00,45%,SNF,https://www.hippostores.com/snf-k-995-knob-ae-1-fancy-knob-model-k-995-knob-ae-1/product/6000019375,6000019375,"hardware, kitchen and tools (hkt) > furniture fittings > furniture handles & knobs > KNOB","hardware, kitchen and tools (hkt)",furniture fittings,furniture handles & knobs,KNOB,,KNOB,FURNITURE HANDLES & KNOBS,K-995 KNOB AE+1,PCE,,PCE,KGM,0.0,,,SNF ENTERPRISE LLP,"BASEMENT, 01 & 08, HARBOUR CREST BUILDING,,  SHIVDAS CHAMPSI MARG, MAZAGAON, MUMBAI, MH, 400010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snf k 5184 ab 76mm fancy kadi,₹156.94,₹285.00,45%,SNF,https://www.hippostores.com/snf-k-5184-ab-76mm-fancy-kadi-model-k-5184-antique-brass-76mm/product/6000019373,6000019373,"hardware, kitchen and tools (hkt) > furniture fittings > furniture handles & knobs > KNOB","hardware, kitchen and tools (hkt)",furniture fittings,furniture handles & knobs,KNOB,,KNOB,FURNITURE HANDLES & KNOBS,K-5184 ANTIQUE BRASS 76MM,PCE,,PCE,KGM,0.0,,,SNF ENTERPRISE LLP,"BASEMENT, 01 & 08, HARBOUR CREST BUILDING,,  SHIVDAS CHAMPSI MARG, MAZAGAON, MUMBAI, MH, 400010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snf 104 mab fancy knob,₹198.24,₹360.00,45%,SNF,https://www.hippostores.com/snf-104-mab-fancy-knob-model-s-f-104-antique-brass/product/6000019386,6000019386,"hardware, kitchen and tools (hkt) > furniture fittings > furniture handles & knobs > KNOB","hardware, kitchen and tools (hkt)",furniture fittings,furniture handles & knobs,KNOB,,KNOB,FURNITURE HANDLES & KNOBS,S&F-104 ANTIQUE BRASS,PCE,,PCE,KGM,0.0,,,SNF ENTERPRISE LLP,"BASEMENT, 01 & 08, HARBOUR CREST BUILDING,,  SHIVDAS CHAMPSI MARG, MAZAGAON, MUMBAI, MH, 400010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
