Name,Price,Mrp,Discount,Brand,Link,SKU_code,Path,Category 1,Category 2,Category 3,Category 4,Category 5,Product Type,Product Line,Model,UOM,Country of Origin,Sales Unit,Weight/ Volume UOM,Weight/ Volume,Shape,Series,Manufacturer/Importer Name,Manufacturer/Importer Address,Finish,Coverage Area/Box/SQMT,Base Material,Thickness,Module,Material Category,Material Description,External Material Group,Wattage,Type/ Mounting Type,Sub Brand,Fitment,Warranty,KEY,PASSWORD,FINGER PRINT,RFID CARD,Avg.Weight in KG/LTR/GM,Dimension/ Size,Wire Grade,Wire Length (Meter),BLUETOOTH,Pattern,Coverage Area/Box/SFT,Pack Size,Colour Family,Core,Colour Name(CCT),Series/Sub brands,Current Rating(AMP),Wire Area (sq. mm),Lumen,IOT,Size (Cut out) MM,Breaking Capacity,Pole,Way,Assembly Required,Assembly Type,What is in the Box,Product Care Instructions,Style,Age Range (Description),Special Feature,Number of Pcs,Size,Load Capacity,Metal Type,Noise,Steel Grade,Maximum Weight Recommendation,Angle,Occasion,Room Type,Surface Recommendation,Item Firmness Description
shagun carpet brush size-37 x 4 x 7.5 cm,₹75,₹129.00,42%,SHAGUN,https://www.hippostores.com/shagun-carpet-brush-size-37-x-4-x-7-5-cm-model-s-18/product/6500000158,6500000158,home and kitchen (hnk) > household > cleaning tools > BRUSHES,home and kitchen (hnk),household,cleaning tools,BRUSHES,,BRUSHES,CLEANING TOOLS,S-18,PCE,India,PCE,KGM,0.2,RECTANGULAR,SHAGUN,RAJ CLEANWEL EXIM PVT LTD,"J-52 SECTOR 5 DSIDC BAWANA INDUSTRIAL AREA, DELHI, DL, 110039",PLASTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,‎Already Assembled,Carpet Brush,‎Hand Wash Only,‎Modern,Adults,"Durable, Reusable, Hard Bristles",1.0,37 x 4 x 7.5 cm,,,,,,,Carpet Cleaning Purpose,"Bedroom, Drawing room",Carpet,Hard
jcpl aroma texture charlie platter big 31 cm,₹1299.01,₹1634.00,21%,JCPL,https://www.hippostores.com/jcpl-aroma-texture-charlie-platter-big-31-cm-model-43107163/product/6500003359,6500003359,home and kitchen (hnk) > kitchen & dining > dinnerware > PLATTERS,home and kitchen (hnk),kitchen & dining,dinnerware,PLATTERS,,PLATTERS,DINNERWARE,43107163,PCE,India,PCE,KGM,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jcpl aroma texture charlie platter big 25 cm,₹949,₹1188.00,20%,JCPL,https://www.hippostores.com/jcpl-aroma-texture-charlie-platter-big-25-cm-model-43107263/product/6500003360,6500003360,home and kitchen (hnk) > kitchen & dining > dinnerware > PLATTERS,home and kitchen (hnk),kitchen & dining,dinnerware,PLATTERS,,PLATTERS,DINNERWARE,43107263,PCE,India,PCE,KGM,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jcpl sway texture coupe plate 27 cm,₹499.02,₹633.00,21%,JCPL,https://www.hippostores.com/jcpl-sway-texture-coupe-plate-27-cm-model-43100264/product/6500003361,6500003361,home and kitchen (hnk) > kitchen & dining > dinnerware > CERAMIC PLATES,home and kitchen (hnk),kitchen & dining,dinnerware,CERAMIC PLATES,,CERAMIC PLATES,DINNERWARE,43100264,PCE,India,PCE,KGM,0.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jcpl sway texture orion milk mug,₹264.99,₹332.00,20%,JCPL,https://www.hippostores.com/jcpl-sway-texture-orion-milk-mug-model-43100764/product/6500003364,6500003364,home and kitchen (hnk) > kitchen & dining > dinnerware > CERAMIC MUGS,home and kitchen (hnk),kitchen & dining,dinnerware,CERAMIC MUGS,,CERAMIC MUGS,DINNERWARE,43100764,PCE,India,PCE,KGM,0.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jcpl sway texture coupe muse bowl 19 cm,₹580,₹736.00,21%,JCPL,https://www.hippostores.com/jcpl-sway-texture-coupe-muse-bowl-19-cm-model-43109064/product/6500003366,6500003366,home and kitchen (hnk) > kitchen & dining > dinnerware > CERAMIC BOWLS,home and kitchen (hnk),kitchen & dining,dinnerware,CERAMIC BOWLS,,CERAMIC BOWLS,DINNERWARE,43109064,PCE,India,PCE,KGM,0.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jcpl ground texture coupe muse bowl 23 cm,₹899.01,₹1152.00,22%,JCPL,https://www.hippostores.com/jcpl-ground-texture-coupe-muse-bowl-23-cm-model-43108961/product/6500003338,6500003338,home and kitchen (hnk) > kitchen & dining > dinnerware > CERAMIC BOWLS,home and kitchen (hnk),kitchen & dining,dinnerware,CERAMIC BOWLS,,CERAMIC BOWLS,DINNERWARE,43108961,PCE,India,PCE,KGM,0.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jcpl coral texture thali bowl 9 cm,₹149,₹188.00,21%,JCPL,https://www.hippostores.com/jcpl-coral-texture-thali-bowl-9-cm-model-43101562/product/6500003345,6500003345,home and kitchen (hnk) > kitchen & dining > dinnerware > CERAMIC BOWLS,home and kitchen (hnk),kitchen & dining,dinnerware,CERAMIC BOWLS,,CERAMIC BOWLS,DINNERWARE,43101562,PCE,India,PCE,KGM,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jcpl coral texture orion milk mug,₹264.99,₹332.00,20%,JCPL,https://www.hippostores.com/jcpl-coral-texture-orion-milk-mug-model-43100762/product/6500003346,6500003346,home and kitchen (hnk) > kitchen & dining > dinnerware > CERAMIC MUGS,home and kitchen (hnk),kitchen & dining,dinnerware,CERAMIC MUGS,,CERAMIC MUGS,DINNERWARE,43100762,PCE,India,PCE,KGM,0.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jcpl coral texture coupe muse bowl 19 cm,₹580,₹736.00,21%,JCPL,https://www.hippostores.com/jcpl-coral-texture-coupe-muse-bowl-19-cm-model-43109062/product/6500003348,6500003348,home and kitchen (hnk) > kitchen & dining > dinnerware > CERAMIC BOWLS,home and kitchen (hnk),kitchen & dining,dinnerware,CERAMIC BOWLS,,CERAMIC BOWLS,DINNERWARE,43109062,PCE,India,PCE,KGM,0.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
