Name,Price,Mrp,Discount,Brand,Link,SKU_code,Path,Category 1,Category 2,Category 3,Category 4,Category 5,Product Type,Product Line,Model,UOM,Country of Origin,Sales Unit,Weight/ Volume UOM,Weight/ Volume,Shape,Series,Manufacturer/Importer Name,Manufacturer/Importer Address,Finish,Coverage Area/Box/SQMT,Base Material,Thickness,Module,Material Category,Material Description,External Material Group,Wattage,Type/ Mounting Type,Sub Brand,Fitment,Warranty,KEY,PASSWORD,FINGER PRINT,RFID CARD,Avg.Weight in KG/LTR/GM,Dimension/ Size,Wire Grade,Wire Length (Meter),BLUETOOTH,Pattern,Coverage Area/Box/SFT,Pack Size,Colour Family,Core,Colour Name(CCT),Series/Sub brands,Current Rating(AMP),Wire Area (sq. mm),Lumen,IOT,Size (Cut out) MM,Breaking Capacity,Pole,Way,Assembly Required,Assembly Type,What is in the Box,Product Care Instructions,Style,Age Range (Description),Special Feature,Number of Pcs,Size,Load Capacity,Metal Type,Noise,Steel Grade,Maximum Weight Recommendation,Angle,Occasion,Room Type,Surface Recommendation,Item Firmness Description
stenna  st02 catalogue,₹4720,,,STENNA,https://www.hippostores.com/stenna-st02-catalogue/product/4000009020,4000009020,paints and surface care (psc) > wall painting interiors > special effects+ wallpapers > WALLPAPERS,paints and surface care (psc),wall painting interiors,special effects+ wallpapers,WALLPAPERS,,WALLPAPERS,SPECIAL EFFECTS+ WALLPAPERS,,PCE,,PCE,KGM,0.0,,,STENNA WALLPAPERS PRIVATE LIMI,"PROPERTY NO.272,NEAR MCD SCHOOL GHITORNI M G RAOD, NEW DELHI, NEW DELHI, NEW DELHI, DL, 110030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stenna  objet catalogue,₹3858.6,,,STENNA,https://www.hippostores.com/stenna-objet-catalogue/product/4000009018,4000009018,paints and surface care (psc) > wall painting interiors > special effects+ wallpapers > WALLPAPERS,paints and surface care (psc),wall painting interiors,special effects+ wallpapers,WALLPAPERS,,WALLPAPERS,SPECIAL EFFECTS+ WALLPAPERS,,PCE,,PCE,KGM,0.0,,,STENNA WALLPAPERS PRIVATE LIMI,"PROPERTY NO.272,NEAR MCD SCHOOL GHITORNI M G RAOD, NEW DELHI, NEW DELHI, NEW DELHI, DL, 110030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stenna  st01 catalogue,₹4720,,,STENNA,https://www.hippostores.com/stenna-st01-catalogue/product/4000009019,4000009019,paints and surface care (psc) > wall painting interiors > special effects+ wallpapers > WALLPAPERS,paints and surface care (psc),wall painting interiors,special effects+ wallpapers,WALLPAPERS,,WALLPAPERS,SPECIAL EFFECTS+ WALLPAPERS,,PCE,,PCE,KGM,0.0,,,STENNA WALLPAPERS PRIVATE LIMI,"PROPERTY NO.272,NEAR MCD SCHOOL GHITORNI M G RAOD, NEW DELHI, NEW DELHI, NEW DELHI, DL, 110030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotch brite non scratch sponge,₹44.64,₹50.00,11%,SCOTCH BRITE,https://www.hippostores.com/scotch-brite-non-scratch-sponge/product/4000009098,4000009098,paints and surface care (psc) > home care > cleaning > CLEANING TOOL,paints and surface care (psc),home care,cleaning,CLEANING TOOL,,CLEANING TOOL,CLEANING,,PCE,India,PCE,KGM,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotch brite sponge wipe - pack of 5,₹339.27,₹380.00,11%,SCOTCH BRITE,https://www.hippostores.com/scotch-brite-sponge-wipe-pack-of-5/product/4000009101,4000009101,paints and surface care (psc) > home care > cleaning > CLEANING TOOL,paints and surface care (psc),home care,cleaning,CLEANING TOOL,,CLEANING TOOL,CLEANING,,PCE,India,PCE,KGM,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotch brite sponge wipe - pack of 10,₹714.31,₹800.00,11%,SCOTCH BRITE,https://www.hippostores.com/scotch-brite-sponge-wipe-pack-of-10/product/4000009102,4000009102,paints and surface care (psc) > home care > cleaning > CLEANING TOOL,paints and surface care (psc),home care,cleaning,CLEANING TOOL,,CLEANING TOOL,CLEANING,,PCE,India,PCE,KGM,185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotch brite steel combi (steel and scurb),₹26.79,₹30.00,11%,SCOTCH BRITE,https://www.hippostores.com/scotch-brite-steel-combi-steel-and-scurb/product/4000009097,4000009097,paints and surface care (psc) > home care > cleaning > CLEANING TOOL,paints and surface care (psc),home care,cleaning,CLEANING TOOL,,CLEANING TOOL,CLEANING,,PCE,India,PCE,KGM,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotch brite premium toilet brush with holder,₹848.18,₹950.00,11%,SCOTCH BRITE,https://www.hippostores.com/scotch-brite-premium-toilet-brush-with-holder/product/4000009106,4000009106,paints and surface care (psc) > home care > cleaning > CLEANING TOOL,paints and surface care (psc),home care,cleaning,CLEANING TOOL,,CLEANING TOOL,CLEANING,,PCE,India,PCE,KGM,331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotch brite round toilet brush with holder,₹267.85,₹300.00,11%,SCOTCH BRITE,https://www.hippostores.com/scotch-brite-round-toilet-brush-with-holder/product/4000009105,4000009105,paints and surface care (psc) > home care > cleaning > CLEANING TOOL,paints and surface care (psc),home care,cleaning,CLEANING TOOL,,CLEANING TOOL,CLEANING,,PCE,India,PCE,KGM,191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"scotch brite bottle cleaner brush, with anti-bacterial sponge & non-scratch cleaning",₹178.57,₹200.00,11%,SCOTCH BRITE,https://www.hippostores.com/scotch-brite-bottle-cleaner-brush-with-anti-bacterial-sponge-non-scratch-cleaning/product/4000009100,4000009100,paints and surface care (psc) > home care > cleaning > CLEANING TOOL,paints and surface care (psc),home care,cleaning,CLEANING TOOL,,CLEANING TOOL,CLEANING,,PCE,India,PCE,KGM,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotch brite plastic kitchen wiper (grey),₹151.78,₹170.00,11%,SCOTCH BRITE,https://www.hippostores.com/scotch-brite-plastic-kitchen-wiper-grey/product/4000009108,4000009108,paints and surface care (psc) > home care > cleaning > CLEANING TOOL,paints and surface care (psc),home care,cleaning,CLEANING TOOL,,CLEANING TOOL,CLEANING,,PCE,India,PCE,KGM,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotch brite microfiber multipurpose wipe 2s pack,₹177.68,₹199.00,11%,SCOTCH BRITE,https://www.hippostores.com/scotch-brite-microfiber-multipurpose-wipe-2s-pack/product/4000009104,4000009104,paints and surface care (psc) > home care > cleaning > CLEANING TOOL,paints and surface care (psc),home care,cleaning,CLEANING TOOL,,CLEANING TOOL,CLEANING,,PCE,India,PCE,KGM,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotch brite scotch brite scrub sponge (large) - pack of 3,₹93.74,₹105.00,11%,SCOTCH BRITE,https://www.hippostores.com/scotch-brite-scotch-brite-scrub-sponge-large-pack-of-3/product/4000009096,4000009096,paints and surface care (psc) > home care > cleaning > CLEANING TOOL,paints and surface care (psc),home care,cleaning,CLEANING TOOL,,CLEANING TOOL,CLEANING,,PCE,India,PCE,KGM,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotch brite silver sparks 9.5 x 14 cm( pack of 6 ),₹84.83,₹95.00,11%,SCOTCH BRITE,https://www.hippostores.com/scotch-brite-silver-sparks-9-5-x-14-cm-pack-of-6/product/4000009094,4000009094,paints and surface care (psc) > home care > cleaning > CLEANING TOOL,paints and surface care (psc),home care,cleaning,CLEANING TOOL,,CLEANING TOOL,CLEANING,,PCE,India,PCE,KGM,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotch brite silver sparks 2.75x4  ( pack of 6 ),₹96.43,₹108.00,11%,SCOTCH BRITE,https://www.hippostores.com/scotch-brite-silver-sparks-2-75x4-pack-of-6/product/4000009095,4000009095,paints and surface care (psc) > home care > cleaning > CLEANING TOOL,paints and surface care (psc),home care,cleaning,CLEANING TOOL,,CLEANING TOOL,CLEANING,,PCE,India,PCE,KGM,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
command medium picture hanging strips,₹245.52,₹275.00,11%,COMMAND,https://www.hippostores.com/command-medium-picture-hanging-strips/product/4000009112,4000009112,paints and surface care (psc) > home care > cleaning > CLEANING TOOL,paints and surface care (psc),home care,cleaning,CLEANING TOOL,,CLEANING TOOL,CLEANING,,PCE,India,PCE,KGM,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotch brite double sided toilet brush,₹223.21,₹250.00,11%,SCOTCH BRITE,https://www.hippostores.com/scotch-brite-double-sided-toilet-brush/product/4000009107,4000009107,paints and surface care (psc) > home care > cleaning > CLEANING TOOL,paints and surface care (psc),home care,cleaning,CLEANING TOOL,,CLEANING TOOL,CLEANING,,PCE,India,PCE,KGM,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotch brite jet scrubber brush,₹142.86,₹160.00,11%,SCOTCH BRITE,https://www.hippostores.com/scotch-brite-jet-scrubber-brush/product/4000009103,4000009103,paints and surface care (psc) > home care > cleaning > CLEANING TOOL,paints and surface care (psc),home care,cleaning,CLEANING TOOL,,CLEANING TOOL,CLEANING,,PCE,India,PCE,KGM,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
