Name,Price,Mrp,Discount,Brand,Link,SKU_code,Path,Category 1,Category 2,Category 3,Category 4,Category 5,Product Type,Product Line,Model,UOM,Country of Origin,Sales Unit,Weight/ Volume UOM,Weight/ Volume,Shape,Series,Manufacturer/Importer Name,Manufacturer/Importer Address,Finish,Coverage Area/Box/SQMT,Base Material,Thickness,Module,Material Category,Material Description,External Material Group,Wattage,Type/ Mounting Type,Sub Brand,Fitment,Warranty,KEY,PASSWORD,FINGER PRINT,RFID CARD,Avg.Weight in KG/LTR/GM,Dimension/ Size,Wire Grade,Wire Length (Meter),BLUETOOTH,Pattern,Coverage Area/Box/SFT,Pack Size,Colour Family,Core,Colour Name(CCT),Series/Sub brands,Current Rating(AMP),Wire Area (sq. mm),Lumen,IOT,Size (Cut out) MM,Breaking Capacity,Pole,Way,Assembly Required,Assembly Type,What is in the Box,Product Care Instructions,Style,Age Range (Description),Special Feature,Number of Pcs,Size,Load Capacity,Metal Type,Noise,Steel Grade,Maximum Weight Recommendation,Angle,Occasion,Room Type,Surface Recommendation,Item Firmness Description
goeka h/f axor with 1 m ss tube with hook,₹791.99,₹990.00,20%,GOEKA,https://www.hippostores.com/goeka-h-f-axor-with-1-m-ss-tube-with-hook-model-hf-1050/product/2000007754,2000007754,sanitary ware and bath fittings (sbf) > faucet > fittings > HEALTH FAUCET,sanitary ware and bath fittings (sbf),faucet,fittings,HEALTH FAUCET,,HEALTH FAUCET,FITTINGS,HF-1050,PCE,India,PCE,KGM,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goeka ss 304 lock grating liner round plain,₹200,₹250.00,20%,GOEKA,https://www.hippostores.com/goeka-ss-304-lock-grating-liner-round-plain-model-gr-27/product/2000007755,2000007755,sanitary ware and bath fittings (sbf) > bathroom accessory > FLOOR DRAINS,sanitary ware and bath fittings (sbf),bathroom accessory,FLOOR DRAINS,,,FLOOR DRAIN,FLOOR DRAINS,GR-27,PCE,India,PCE,KGM,0.0,ROUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goeka ss 304 lock grating liner square plain,₹224,₹280.00,20%,GOEKA,https://www.hippostores.com/goeka-ss-304-lock-grating-liner-square-plain-model-gr-30/product/2000007756,2000007756,sanitary ware and bath fittings (sbf) > bathroom accessory > FLOOR DRAINS,sanitary ware and bath fittings (sbf),bathroom accessory,FLOOR DRAINS,,,FLOOR DRAIN,FLOOR DRAINS,GR-30,PCE,India,PCE,KGM,0.0,SQUARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goeka single lever basin mixer tall body,₹12399.75,₹15500.00,20%,GOEKA,https://www.hippostores.com/goeka-single-lever-basin-mixer-tall-body-model-sl-1006c/product/2000007757,2000007757,sanitary ware and bath fittings (sbf) > faucet > lav faucet > LAV FAUCET,sanitary ware and bath fittings (sbf),faucet,lav faucet,LAV FAUCET,,LAV FAUCET,LAV FAUCET,SL-1006C,PCE,,PCE,KGM,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goeka single lever basin sink mixer sl 1004c,₹9199.81,₹11500.00,20%,GOEKA,https://www.hippostores.com/goeka-single-lever-basin-sink-mixer-sl-1004c-model-sl-1004c/product/2000007758,2000007758,sanitary ware and bath fittings (sbf) > faucet > kitchen faucet > KITCHEN FAUCET,sanitary ware and bath fittings (sbf),faucet,kitchen faucet,KITCHEN FAUCET,,KITCHEN FAUCET,KITCHEN FAUCET,SL-1004C,PCE,,PCE,KGM,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goeka h/s globe with 1.5m ss tube & hook,₹955.99,₹1195.00,20%,GOEKA,https://www.hippostores.com/goeka-h-s-globe-with-1-5m-ss-tube-hook-model-hs-901/product/2000007752,2000007752,sanitary ware and bath fittings (sbf) > faucet > showering > HANDSHOWER,sanitary ware and bath fittings (sbf),faucet,showering,HANDSHOWER,,HANDSHOWER,SHOWERING,HS-901,PCE,,PCE,KGM,0.0,ROUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goeka r o tap ss 304,₹1159.98,₹1450.00,20%,GOEKA,https://www.hippostores.com/goeka-r-o-tap-ss-304-model-ro-02/product/2000007759,2000007759,sanitary ware and bath fittings (sbf) > faucet > kitchen faucet > KITCHEN FAUCET,sanitary ware and bath fittings (sbf),faucet,kitchen faucet,KITCHEN FAUCET,,KITCHEN FAUCET,KITCHEN FAUCET,RO-02,PCE,,PCE,KGM,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mozio leon (420x420x400 mm),₹15750.29,₹21000.00,25%,MOZIO,https://www.hippostores.com/mozio-leon-420x420x400-mm-model-308/product/2000007719,2000007719,sanitary ware and bath fittings (sbf) > vitreous > vanity > VANITY,sanitary ware and bath fittings (sbf),vitreous,vanity,VANITY,,VANITY,VANITY,308,PCE,India,PCE,KGM,0.0,,LEON,MOZIO CERAMICS INDIA,"314 FIE PATPARGANJ INDL AREA PATPARGANJ EAST DELHI, EAST DELHI, DL, 110092",GLOSSY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mozio county cabinet basin marble
(with basin mixer hole)
800x700 mm",₹27375.48,₹36500.00,25%,MOZIO,https://www.hippostores.com/mozio-county-cabinet-basin-marble-with-basin-mixer-hole-800x700-mm-model-305/product/2000007720,2000007720,sanitary ware and bath fittings (sbf) > vitreous > vanity > VANITY,sanitary ware and bath fittings (sbf),vitreous,vanity,VANITY,,VANITY,VANITY,305,PCE,India,PCE,KGM,0.0,,COUNTY,MOZIO CERAMICS INDIA,"314 FIE PATPARGANJ INDL AREA PATPARGANJ EAST DELHI, EAST DELHI, DL, 110092",GLOSSY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cipla plast ikon square led mirror frame (24x24)golden,₹4499.95,₹6000.00,25%,CP PLUS,https://www.hippostores.com/cipla-plast-ikon-square-led-mirror-frame-24x24-golden-model-ikon-24x24-sqr-led-gd/product/2000007703,2000007703,sanitary ware and bath fittings (sbf) > bathroom accessory > mirror > MIRROR,sanitary ware and bath fittings (sbf),bathroom accessory,mirror,MIRROR,,MIRROR,MIRROR,IKON-24X24-SQR-(LED) (GD),PCE,India,PCE,KGM,0.0,,IKON,CIPLA INDUSTRIES PRIVATE LIMIT,"FIE 379 PATPARGANJ INDUSTRIAL AREA EAST DELHI, DELHI, DL, 110092",GLOSSY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
