Name,Price,Mrp,Discount,Brand,Link,SKU_code,Path,Category 1,Category 2,Category 3,Category 4,Category 5,Product Type,Product Line,Model,UOM,Country of Origin,Sales Unit,Weight/ Volume UOM,Weight/ Volume,Shape,Series,Manufacturer/Importer Name,Manufacturer/Importer Address,Finish,Coverage Area/Box/SQMT,Base Material,Thickness,Module,Material Category,Material Description,External Material Group,Wattage,Type/ Mounting Type,Sub Brand,Fitment,Warranty,KEY,PASSWORD,FINGER PRINT,RFID CARD,Avg.Weight in KG/LTR/GM,Dimension/ Size,Wire Grade,Wire Length (Meter),BLUETOOTH,Pattern,Coverage Area/Box/SFT,Pack Size,Colour Family,Core,Colour Name(CCT),Series/Sub brands,Current Rating(AMP),Wire Area (sq. mm),Lumen,IOT,Size (Cut out) MM,Breaking Capacity,Pole,Way,Assembly Required,Assembly Type,What is in the Box,Product Care Instructions,Style,Age Range (Description),Special Feature,Number of Pcs,Size,Load Capacity,Metal Type,Noise,Steel Grade,Maximum Weight Recommendation,Angle,Occasion,Room Type,Surface Recommendation,Item Firmness Description
polywood spc flooring wooden series 1220x180 4.5mm matt finish pwf 1013,₹3503.08 (₹148.2/SQFT),₹4254.66,18%,POLYWOOD,https://www.hippostores.com/polywood-spc-flooring-wooden-series-1220x180-4-5mm-matt-finish-pwf-1013/product/3000010864,3000010864,tiles and flooring (tfl) > spc tiles > stone polymer composite > STN POLYMER COMPSITE,tiles and flooring (tfl),spc tiles,stone polymer composite,STN POLYMER COMPSITE,,STONE POLYMER COMPOSITE,STONE POLYMER COMPOSITE,,BX,India,BX,KGM,22.0,,,DHABRIYA POLYWOOD LIMITED,"GF-021,GF-022, GF-023, THE PALM SQUARE GOLD COURSE, EXTENSION ROAD, SECTOR-66, GURGAON, HR, 122008",MATT,2.196,SPC,4.5MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roff d klog 4+1 offer pack,₹90,₹100.00,10%,ROFF,https://www.hippostores.com/roff-d-klog-4-1-offer-pack/product/3000010617,3000010617,tiles and flooring (tfl) > accessories > miscellaneous > CLEANER,tiles and flooring (tfl),accessories,miscellaneous,CLEANER,,CLEANER,MISCELLANEOUS,,PCE,India,PCE,KGM,0.0,,MODULAR,PIDILITE INDUSTRIES LTD,"Alwar Hub Plant 1731,S-18,NH-8, Behror Alwar Rajasthan, Near Hotel JP Palace, Alwar, Alwar, RJ, 301701",Z2,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roff sparkles silver [100 gm] t28,₹519.99,₹630.00,17%,ROFF,https://www.hippostores.com/roff-sparkles-silver-100-gm-t28-model-fcc889110102p2p/product/3000009167,3000009167,tiles and flooring (tfl) > accessories > grouts > GROUTS,tiles and flooring (tfl),accessories,grouts,GROUTS,,GROUTS,GROUTS,FCC889110102P2P,PCE,India,PCE,KGM,0.1,,MODULAR,Pidilite Industries Ltd,"RKO Complex, Dukheri Road, Pidilite Industries Ltd., Ambala, Ambala, Ambala, HR, 421302",Z2,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotland slatesquare porcelain floor 600x600 9.2mm,₹699.01 (₹45.1/SQFT),₹1050.00,33%,ISTA,https://www.hippostores.com/scotland-slatesquare-porcelain-floor-600x600-9-2mm/product/3000009905,3000009905,tiles and flooring (tfl) > rooms tiles > PORCELAIN FLOOR,tiles and flooring (tfl),rooms tiles,PORCELAIN FLOOR,,,PORCELAIN FLOOR 600X600,PORCELAIN FLOOR,,BX,India,BX,KGM,28.0,,SCOTLAND,SUNSHINE TILES COMPANY PVT.LTD,"B/H,Sunhill Ceramics Pvt.Ltd,S.No150 & 160/P1, Tal-Wankaner,8-A National Highway, At Dhuva,Wankaner, Morbi, GJ, 363621",MATT,1.44,PORCELAIN,9.2 MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action tesa reducer profile,₹713.03,₹1000.00,29%,ACTION TESA,https://www.hippostores.com/action-tesa-reducer-profile/product/3000003444,3000003444,tiles and flooring (tfl) > accessories > reducer > REDUCER,tiles and flooring (tfl),accessories,reducer,REDUCER,,REDUCER,REDUCER,,PCE,India,PCE,KGM,0.6,,,BALAJI ACTION BUILDWELL PVT LT,"C34,C34A to D & C3 C6A TO PLOT 5, ELDECO SIDICUL INDUSTRIAL PARK,SITARGANJ, DISTRICT-UDHAM SINGH NAGAR, UDHAM SINGH NAGAR, SITARGANJ, UT, 262405",,,HDF,15MM,,TFL,ACTION TESA REDUCER PROFILE,BALAJI ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orient bell skd decor protea flower art gvt-floor 600 x 1200 9mm,₹954.48 (₹61.58/SQFT),₹1236.00,23%,ORIENT BELL,https://www.hippostores.com/orient-bell-skd-decor-protea-flower-art-gvt-floor-600-x-1200-9mm/product/3000011192,3000011192,tiles and flooring (tfl) > rooms tiles > gvt-floor > GVT-FLOOR 600 X 1200,tiles and flooring (tfl),rooms tiles,gvt-floor,GVT-FLOOR 600 X 1200,,GVT-FLOOR 600 X 1200,GVT-FLOOR,,BX,India,BX,KGM,28.0,,CATALOGUE,Orient Bell Limited,"PLOT NO 8, A-75 TO A-80, A-85 and A-22, INDUSTRIAL AREA,, Sikandrabad road, Sikandrabad, Bulandshahar, UP, 203205",Z2,1.44,N,9 MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orient bell skd dgvt stucco white gvt-floor 600 x 1200 9mm,₹882.42 (₹56.93/SQFT),₹1069.00,17%,ORIENT BELL,https://www.hippostores.com/orient-bell-skd-dgvt-stucco-white-gvt-floor-600-x-1200-9mm/product/3000011196,3000011196,tiles and flooring (tfl) > rooms tiles > gvt-floor > GVT-FLOOR 600 X 1200,tiles and flooring (tfl),rooms tiles,gvt-floor,GVT-FLOOR 600 X 1200,,GVT-FLOOR 600 X 1200,GVT-FLOOR,,BX,India,BX,KGM,28.0,,CATALOGUE,Orient Bell Limited,"PLOT NO 8, A-75 TO A-80, A-85 and A-22, INDUSTRIAL AREA,, Sikandrabad road, Sikandrabad, Bulandshahar, UP, 203205",Z2,1.44,N,9 MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl marble perleto royal victorian 15mm,₹12615.06 (₹316.75/SQFT),₹18348.00,31%,AGL QUARTZ,https://www.hippostores.com/agl-marble-perleto-royal-victorian-15mm/product/3000010046,3000010046,tiles and flooring (tfl) > marble & stones > marble & stones > NATURAL STONE,tiles and flooring (tfl),marble & stones,marble & stones,NATURAL STONE,,NATURAL STONE,MARBLE & STONES,,PCE,India,PCE,KGM,160.0,,VICTORIAN,HINDUSTAN MARBLE HOUSE,"5/1455 VASUNDHARA, GHAZIABAD, UP, 201012",MARBLE,3.7,COMPOSITE MARBLE,15MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl marble astone beige crystal 15mm,₹13437.47 (₹337.4/SQFT),₹19545.00,31%,AGL QUARTZ,https://www.hippostores.com/agl-marble-astone-beige-crystal-15mm/product/3000010050,3000010050,tiles and flooring (tfl) > marble & stones > marble & stones > NATURAL STONE,tiles and flooring (tfl),marble & stones,marble & stones,NATURAL STONE,,NATURAL STONE,MARBLE & STONES,,PCE,India,PCE,KGM,160.0,,CRYSTAL,HINDUSTAN MARBLE HOUSE,"5/1455 VASUNDHARA, GHAZIABAD, UP, 201012",MARBLE,3.7,COMPOSITE MARBLE,15MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl marble marmo gres maridian 15mm,₹10832.51 (₹271.99/SQFT),₹15755.00,31%,AGL QUARTZ,https://www.hippostores.com/agl-marble-marmo-gres-maridian-15mm/product/3000010026,3000010026,tiles and flooring (tfl) > marble & stones > marble & stones > NATURAL STONE,tiles and flooring (tfl),marble & stones,marble & stones,NATURAL STONE,,NATURAL STONE,MARBLE & STONES,,PCE,India,PCE,KGM,160.0,,MARIDIAN,HINDUSTAN MARBLE HOUSE,"5/1455 VASUNDHARA, GHAZIABAD, UP, 201012",MARBLE,3.7,COMPOSITE MARBLE,15MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
