Name,Price,Mrp,Discount,Brand,Link,SKU_code,Path,Category 1,Category 2,Category 3,Category 4,Category 5,Product Type,Product Line,Model,UOM,Country of Origin,Sales Unit,Weight/ Volume UOM,Weight/ Volume,Shape,Series,Manufacturer/Importer Name,Manufacturer/Importer Address,Finish,Coverage Area/Box/SQMT,Base Material,Thickness,Module,Material Category,Material Description,External Material Group,Wattage,Type/ Mounting Type,Sub Brand,Fitment,Warranty,KEY,PASSWORD,FINGER PRINT,RFID CARD,Avg.Weight in KG/LTR/GM,Dimension/ Size,Wire Grade,Wire Length (Meter),BLUETOOTH,Pattern,Coverage Area/Box/SFT,Pack Size,Colour Family,Core,Colour Name(CCT),Series/Sub brands,Current Rating(AMP),Wire Area (sq. mm),Lumen,IOT,Size (Cut out) MM,Breaking Capacity,Pole,Way,Assembly Required,Assembly Type,What is in the Box,Product Care Instructions,Style,Age Range (Description),Special Feature,Number of Pcs,Size,Load Capacity,Metal Type,Noise,Steel Grade,Maximum Weight Recommendation,Angle,Occasion,Room Type,Surface Recommendation,Item Firmness Description
e3 edge band tape wooden 0.8x22mm pearl black hg 50rmt,₹858.82,,,E3,https://www.hippostores.com/e3-edge-band-tape-wooden-0-8x22mm-pearl-black-hg-50rmt-model-1044-hg/product/7000003242,7000003242,wood materials (wmt) > ancillaries > edge banding tapes > 0.8 MM,wood materials (wmt),ancillaries,edge banding tapes,0.8 MM,,0.8 MM,EDGE BANDING TAPES,1044 HG,RO,India,RO,KGM,1.5,,PVC TAPE,123 PLY,"Plot No.Z 42,Okhla Industrial area phase 2, South Delhi, NEW DELHI, South Delhi, DL, 110020",HG,,PVC,0.8 MM,,WMT,E3 EDGE BND TAP WDN0.8X22MM PB HG 50RMT,123 PLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fevicol steelgrip self adhesive paper tape - pack of 6 [ 24mm x 20m ],₹133.26,,,FEVICOL,https://www.hippostores.com/fevicol-steelgrip-self-adhesive-paper-tape-pack-of-6-24mm-x-20m/product/7000006955,7000006955,wood materials (wmt) > ancillaries > wood adhesive > Solvent Based,wood materials (wmt),ancillaries,wood adhesive,Solvent Based,,SOLVENT BASED,WOOD ADHESIVE,,PCE,India,PCE,KGM,0.2,,STEELGRIP SELF APT,Pidilite Industries Ltd,"RKO Complex, Dukheri Road, Pidilite Industries Ltd., Ambala, Ambala, Ambala, HR, 421302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3 edge band tape wooden 0.8x22mm tan hg 50 rmt,₹858.82,,,E3,https://www.hippostores.com/e3-edge-band-tape-wooden-0-8x22mm-tan-hg-50-rmt-model-1021-hg/product/7000003008,7000003008,wood materials (wmt) > ancillaries > edge banding tapes > 0.8 MM,wood materials (wmt),ancillaries,edge banding tapes,0.8 MM,,0.8 MM,EDGE BANDING TAPES,1021 HG,RO,India,RO,KGM,1.5,,PVC TAPE,123 PLY,"Plot No.Z 42,Okhla Industrial area phase 2, South Delhi, NEW DELHI, South Delhi, DL, 110020",HG,,PVC,0.8MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fevicol steelgrip self adhesive paper tape - pack of 6  [ 24mm x 30m ],₹183.84,,,FEVICOL,https://www.hippostores.com/fevicol-steelgrip-self-adhesive-paper-tape-pack-of-6-24mm-x-30m/product/7000006954,7000006954,wood materials (wmt) > ancillaries > wood adhesive > Solvent Based,wood materials (wmt),ancillaries,wood adhesive,Solvent Based,,SOLVENT BASED,WOOD ADHESIVE,,PCE,India,PCE,KGM,0.2,,STEELGRIP SELF APT,Pidilite Industries Ltd,"RKO Complex, Dukheri Road, Pidilite Industries Ltd., Ambala, Ambala, Ambala, HR, 421302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greenply green marine bwp ply 7x4 size 12 mm,₹2999.45 (₹106.72/SQFT),,,GREENPLY,https://www.hippostores.com/greenply-green-marine-bwp-ply-7x4-size-12-mm-model-gbpgrnpp120214122/product/7000003350,7000003350,wood materials (wmt) > plyboards > plywood > BWP PLY,wood materials (wmt),plyboards,plywood,BWP PLY,,BWP PLY,PLYWOOD,GBPGRNPP120214122,ST,India,ST,KGM,22.0,,GREEN MARINE,GREENPLY INDUSTRIES LIMITED,"GODOWN NO 2, F-71 BULAND SHAHAR ROAD, INDUSTRIAL AREA, GHAZIABAD, UP, 201001",,2.611,WOOD,12 MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greenply green marine bwp ply 7x4 size 6 mm,₹2040.49 (₹72.6/SQFT),,,GREENPLY,https://www.hippostores.com/greenply-green-marine-bwp-ply-7x4-size-6-mm-model-gbpgrnpp060214122/product/7000003351,7000003351,wood materials (wmt) > plyboards > plywood > BWP PLY,wood materials (wmt),plyboards,plywood,BWP PLY,,BWP PLY,PLYWOOD,GBPGRNPP060214122,ST,India,ST,KGM,11.5,,GREEN MARINE,GREENPLY INDUSTRIES LIMITED,"GODOWN NO 2, F-71 BULAND SHAHAR ROAD, INDUSTRIAL AREA, GHAZIABAD, UP, 201001",,2.611,WOOD,6 MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greenply ecotec 710 bwp ply 8x4 size 6 mm,₹1788.63 (₹55.82/SQFT),,,GREENPLY,https://www.hippostores.com/greenply-ecotec-710-bwp-ply-8x4-size-6-mm-model-tbpec7pp060244122/product/7000003338,7000003338,wood materials (wmt) > plyboards > plywood > BWP PLY,wood materials (wmt),plyboards,plywood,BWP PLY,,BWP PLY,PLYWOOD,TBPEC7PP060244122,ST,India,ST,KGM,12.0,,ECOTEC 710,GREENPLY INDUSTRIES LIMITED,"GODOWN NO 2, F-71 BULAND SHAHAR ROAD, INDUSTRIAL AREA, GHAZIABAD, UP, 201001",,2.977,WOOD,6 MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greenply ecotec 710 bwp ply 8x4 size 9 mm,₹2130.2 (₹66.48/SQFT),,,GREENPLY,https://www.hippostores.com/greenply-ecotec-710-bwp-ply-8x4-size-9-mm-model-tbpec7pp090244122/product/7000003337,7000003337,wood materials (wmt) > plyboards > plywood > BWP PLY,wood materials (wmt),plyboards,plywood,BWP PLY,,BWP PLY,PLYWOOD,TBPEC7PP090244122,ST,India,ST,KGM,16.0,,ECOTEC 710,GREENPLY INDUSTRIES LIMITED,"GODOWN NO 2, F-71 BULAND SHAHAR ROAD, INDUSTRIAL AREA, GHAZIABAD, UP, 201001",,2.977,WOOD,9 MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bhutan tuff wpc board mass 2440x1220 18mm,₹5564.53 (₹173.89/SQFT),,,BHUTAN TUFF,https://www.hippostores.com/bhutan-tuff-wpc-board-mass-2440x1220-18mm/product/7000003303,7000003303,wood materials (wmt) > wpc > wpc > WPC,wood materials (wmt),wpc,wpc,WPC,,WPC,WPC,,ST,India,ST,KGM,32.0,,MASS,AMIT DECORATIVE PLYWOOD PVT.LT,"Village Rampur,Tehsil Kharkhoda,, Kharkhoda, Sonipat, Sonipat, HR, 131402",,2.9729,WPC,18 MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greenlam gl 163 jup 2440x1220x1mm,₹2128.72,,,GREENLAM,https://www.hippostores.com/greenlam-gl-163-jup-2440x1220x1mm-model-163-jup/product/7000005715,7000005715,wood materials (wmt) > decorative > laminates > 1.00 MM Laminate,wood materials (wmt),decorative,laminates,1.00 MM Laminate,,1.00 MM LAMINATE,LAMINATES,163 JUP,ST,India,ST,KGM,4.5,,,SEEMA REALCON PVT.LTD,"A-69 Naraina Industrial area,Phase-1, South West Delhi, Delhi, Delhi, DL, 110028",,,PAPER,1MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
